deflag,g1_15_AQ,g1_25_AQ,g2_38_CL,g2_37_CL,g4_61_LF,g4_68_LF,g5_86_PE,g5_99_PE
0,NA,NA,17.88558217,0.10567923,NA,NA,1.00450227,0.084287659
0,NA,NA,32.20147208,NA,0.300731015,NA,NA,-0.03070597
0,3.195892368,0.130998403,10.03243868,0.040029298,0.563971462,0.247419606,1.029686489,0.162657944
0,0.186990906,1.389700299,9.919080291,-0.014538745,0.903656614,0.550000556,1.000763481,-0.042709234
0,1.29325235,0.296834829,18.66903657,0.152268217,1.116774998,0.782381845,0.981404011,0.034025724
1,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,37.32182478,NA,0.862707473,NA,NA,0.041003535
0,NA,NA,NA,NA,NA,NA,NA,NA
0,4.645246558,NA,6.329029251,0.084525666,NA,NA,NA,NA
0,NA,NA,4.727097007,NA,1.105342062,NA,NA,0.03928227
0,NA,NA,NA,NA,0.769184879,0.576583068,NA,0.026498255
0,0.962903465,0.093585256,NA,NA,0.484709618,0.633221919,1.046555027,0.096140088
0,NA,NA,NA,0.124977952,1.892812862,NA,NA,0.098899009
0,NA,NA,NA,0.10513352,NA,0.628004918,NA,NA
0,5.262183353,0.142005467,16.11985065,0.046804257,1.702518785,0.324416189,0.991896153,0.132787398
0,0.865787598,0.426134029,2.516795615,0.004797963,1.405300976,0.091774793,1.0064534,0.095916744
0,1.44968022,0.016789291,10.81519125,0.08936764,0.900485337,0.177223641,0.990131977,-0.006443008
0,0.492299011,0.410070076,17.7737819,0.061452157,NA,0.19792141,NA,NA
0,10.88676447,0.213323548,10.001044,0.058061779,1.237185801,0.292941248,1.02181638,0.186429272
0,NA,NA,12.11176989,NA,1.198155153,NA,NA,0.088522643
0,NA,NA,23.05031381,NA,0.574891738,NA,NA,0.121582244
0,NA,NA,18.15336878,NA,0.485152592,NA,NA,0.050548856
0,-0.332994272,0.902975816,NA,NA,1.072326708,0.089608774,1.010186951,0.022058224
0,1.929339763,0.251050276,NA,NA,NA,0.474963202,1.011804745,NA
0,NA,NA,8.980845613,NA,0.596814471,NA,NA,0.066383522
0,2.096572132,0.031858738,18.32488527,0.133342797,0.726848072,0.206144771,1.021267871,0.123127743
